job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Anestezi Uzmanı,0,0,0,Tıp,Anestezi (MYO),İşletme,Hayvan Yetiştiriciliği ve Sağlığı (MYO),Cerrahi Tıp Bilimleri,0,0,0,0,0,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Hacettepe Üniversitesi,Uludağ Üniversitesi,Trakya Üniversitesi,Müzik,Microsoft Office Word,9 Yıldır Fotoğrafçılıkla İlgileniyorum,- Takım Halinde Uyumlu Çalışabilme ( Koro,Spor Takımları,0,20,110,46,54
Animasyon Sanatçısı,0,0,0,Turizm ve Seyahat İşletmeciliği (MYO),Çizgi Film (Animasyon),Turizm ve Otel İşletmeciliği (MYO),Turizm Animasyon,İngiliz Dili ve Edebiyatı,Turizm,Reklam ve Tanıtım,Eğlence - Kültür - Sanat,Hizmet,Medya,Anadolu Üniversitesi,Akdeniz Üniversitesi,Mersin Üniversitesi,Muğla Üniversitesi,Dokuz Eylül Üniversitesi,3D Max,Adobe After Effects,Adobe Flash,Adobe Illustrator,Adobe Photoshop,0,0,460,53,47
Animatör,2820,2020,3640,Turizm Animasyon,Turizm ve Otel İşletmeciliği (MYO),Turizm İşletmeciliği,İşletme,Beden Eğitimi ve Spor Öğretmenliği,Turizm,Reklam ve Tanıtım,Eğlence - Kültür - Sanat,Hizmet,Eğitim,Anadolu Üniversitesi,Akdeniz Üniversitesi,Muğla Üniversitesi,Ege Üniversitesi,Mersin Üniversitesi,Adobe After Effects,Adobe Photoshop,0,0,0,26,6,3088,54,46
Anjiyo Hemşiresi,3280,2040,4600,Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Hemşirelik,Sağlık Kurumları İşletmeciliği,İlk ve Acil (Paramedik),Sağlık,Hizmet,Sigortacılık,Kimya,Eğitim,Anadolu Üniversitesi,Marmara Üniversitesi,Uludağ Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Aydın Üniversitesi,Cpr,İşçi Sağlığı ve İş Güvenliği,0,0,0,17,1,455,47,53
Anjiyo Teknisyeni,3260,2440,4080,Tıbbi Görüntüleme Teknikleri,Radyoloji (MYO),Biyoloji,Biyomedikal Cihaz Teknolojisi (MYO),Tıbbi Laboratuvar (MYO),Sağlık,Hizmet,Sigortacılık,Basım - Yayın,Atık Yönetimi ve Geri Dönüşüm,Anadolu Üniversitesi,Selçuk Üniversitesi,Ankara Üniversitesi,Erciyes Üniversitesi,İnönü Üniversitesi,İş Zekası,Kalite Yönetim Sistemleri,PARAMEDİK,0,0,18,2,212,80,20
Antrenör,3140,2020,4570,Beden Eğitimi ve Spor Öğretmenliği,Antrenörlük Eğitimi,Spor Yöneticiliği,Rekreasyon Yönetimi,İşletme,Eğitim,Turizm,Hizmet,Sağlık,Eğlence - Kültür - Sanat,Anadolu Üniversitesi,Kocaeli Üniversitesi,Gazi Üniversitesi,Ege Üniversitesi,Marmara Üniversitesi,Spor,Yüzme,Futbol,Basketbol,Voleybol,82,3,9275,61,39
Antrepo Müdürü,5500,2500,10420,İşletme,Endüstri Mühendisliği,İktisat,Kamu Yönetimi,Lojistik (MYO),Taşımacılık,Üretim / Endüstriyel Ürünler,Kimya,Tekstil,Gıda,Anadolu Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),İstanbul Üniversitesi (İÜ),Hacettepe Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Depo Operasyon,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Genel Muhasebe,Gümrük mevzuatı,3,0,113,93,7
Araç Muayene Teknisyeni,2840,2020,3770,Otomotiv (MYO),Makine (MYO),Makine,Otomotiv Öğretmenliği,Otomotiv Teknolojisi,Otomotiv,Hizmet,Elektrik & Elektronik,Bilişim,Taşımacılık,Kocaeli Üniversitesi,Selçuk Üniversitesi,Anadolu Üniversitesi,Gazi Üniversitesi,Abant İzzet Baysal Üniversitesi,AutoCAD,Elektrik Kumanda Panoları,Elektrik/Elektronik,SOLIDWORKS,0,54,16,1026,96,4
Araç Muayene Uzmanı,3140,2500,4280,Otomotiv (MYO),Otomotiv Öğretmenliği,Makine (MYO),Makine,Mekatronik (MYO),Otomotiv,Hizmet,Elektrik & Elektronik,Bilişim,Yapı,Kocaeli Üniversitesi,Namık Kemal Üniversitesi,Abant İzzet Baysal Üniversitesi,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,AutoCAD,SOLIDWORKS,0,0,0,7,6,395,95,5
Arama Motoru Optimizasyonu (SEO) Analisti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arama Motoru Optimizasyonu (SEO) Danışmanı,5040,2120,10370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Arama Motoru Optimizasyonu (SEO) Uzmanı,4320,2020,6640,Bilgisayar Teknolojisi ve Programlama (MYO),İşletme,Bilgisayar Programcılığı,MIS - Yönetim Bilişim Sistemleri,Bilgisayar Mühendisliği,Bilişim,Reklam ve Tanıtım,Medya,Ticaret,Basım - Yayın,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Selçuk Üniversitesi,Sakarya Üniversitesi,Marmara Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CSS,CSS3,32,22,498,80,20
Arama Motoru Pazarlama (SEM) Uzmanı,0,0,0,İşletme,Uluslararası İlişkiler,İşletme (İngilizce),Dış Ticaret (MYO),İstatistik,Reklam ve Tanıtım,Medya,Bilişim,Turizm,Danışmanlık,Marmara Üniversitesi,Anadolu Üniversitesi,Boğaziçi Üniversitesi,İstanbul Bilgi Üniversitesi,İstanbul Ticaret Üniversitesi,Advertising,Dijital Pazarlama,ETA,Google Adwords,Google Adwords Kampanya Yönetimi,0,0,70,56,44
Aranjör,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arapça Öğretmeni,3700,2500,5120,İlahiyat,Arap Dili ve Edebiyatı,Arapça Öğretmenliği,İlahiyat (MYO),Arapça Mütercim Tercümanlık,Eğitim,Hizmet,Turizm,Danışmanlık,Topluluklar,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Atatürk Üniversitesi,Selçuk Üniversitesi,Ankara Üniversitesi,Adobe Photoshop,0,0,0,0,11,1,1303,39,61
Arapça Tercüman,3290,2280,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0
Araştırma Geliştirme / Arge Müdürü,9610,4730,14490,Makine Mühendisliği,Kimya Mühendisliği,Kimya,Gıda Mühendisliği,Elektrik/Elektronik Mühendisliği,Kimya,Üretim / Endüstriyel Ürünler,Otomotiv,Elektrik & Elektronik,Tekstil,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Uludağ Üniversitesi,3D Tasarım ve Modelleme Uygulaması,AutoCAD,C#,C++,CAD/CAM,136,0,1180,74,26
Araştırma Geliştirme / Arge Mühendisi,4330,2180,6490,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Kimya Mühendisliği,Metalurji ve Malzeme Mühendisliği,Mekatronik Mühendisliği,Otomotiv,Üretim / Endüstriyel Ürünler,Elektrik & Elektronik,Bilişim,Kimya,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Kocaeli Üniversitesi,Ege Üniversitesi,Altium Desinger,Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,799,274,5730,74,26
Araştırma Geliştirme / Arge Proje Mühendisi,4850,2150,7560,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Kimya Mühendisliği,Metalurji ve Malzeme Mühendisliği,Mekatronik Mühendisliği,Otomotiv,Üretim / Endüstriyel Ürünler,Elektrik & Elektronik,Bilişim,Hizmet,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Kocaeli Üniversitesi,Dokuz Eylül Üniversitesi,Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,C,68,0,1230,76,24
Araştırma Geliştirme / Arge Proje Yöneticisi,7380,3300,11740,Makine Mühendisliği,Kimya,Elektrik/Elektronik Mühendisliği,Kimya Mühendisliği,Bilgisayar Mühendisliği,Bilişim,Üretim / Endüstriyel Ürünler,Otomotiv,Elektrik & Elektronik,Kimya,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Yıldız Teknik Üniversitesi (YTÜ),Gazi Üniversitesi,Ege Üniversitesi,3D Tasarım ve Modelleme Uygulaması,AutoCAD,Baskı Devre Tasarımı,Bütçe planlama ve raporlama,C++,32,0,840,68,32
Araştırma Geliştirme / Arge Sorumlusu,4700,2500,7320,Kimya,Kimya Mühendisliği,Makine Mühendisliği,İşletme,Elektrik/Elektronik Mühendisliği,Kimya,Otomotiv,Üretim / Endüstriyel Ürünler,Tekstil,Sağlık,Ege Üniversitesi,Anadolu Üniversitesi,Uludağ Üniversitesi,Gazi Üniversitesi,Kocaeli Üniversitesi,AutoCAD,CAD/CAM,CATIA,CNC,ISO 16949,39,23,822,57,43
Araştırma Geliştirme / Arge Uzmanı,5010,2580,7430,Kimya,Makine Mühendisliği,Kimya Mühendisliği,Gıda Mühendisliği,Elektrik/Elektronik Mühendisliği,Sağlık,Kimya,Otomotiv,Gıda,Bilişim,İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Hacettepe Üniversitesi,Altium Desinger,AutoCAD,C++,CAD/CAM,CATIA,80,317,1694,58,42
Araştırmacı,5980,2550,9410,Kimya,Elektrik/Elektronik Mühendisliği,Makine Mühendisliği,Bilgisayar Mühendisliği,Biyoloji,Eğitim,Hizmet,Sağlık,Bilişim,Üretim / Endüstriyel Ürünler,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Teknik Üniversitesi (İTÜ),Hacettepe Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Ege Üniversitesi,AutoCAD,C,C Programming Language,C++,Java,31,3,2845,51,49
Arayüz Yazılım Uzmanı,5790,2830,8750,Bilgisayar Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),Bilgisayar Programcılığı,İşletme,Yazılım Mühendisliği,Bilişim,Ticaret,Reklam ve Tanıtım,Turizm,Finans - Ekonomi,Anadolu Üniversitesi,Kocaeli Üniversitesi,Sakarya Üniversitesi,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),Adobe Illustrator,Adobe Photoshop,Bootstrap 4,C#,CSS,31,874,630,82,18
AR-GE Mühendisi,4260,2080,6450,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Kimya Mühendisliği,Kimya,Mekatronik Mühendisliği,Üretim / Endüstriyel Ürünler,Otomotiv,Elektrik & Elektronik,Kimya,Bilişim,Yıldız Teknik Üniversitesi (YTÜ),Kocaeli Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),3D Tasarım ve Modelleme Uygulaması,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,171,0,2044,72,28
AR-GE ve Kalite Uzmanı,3820,2380,5340,Kimya,Kimya Mühendisliği,Gıda Mühendisliği,İşletme,Gıda Teknolojisi (MYO),Kimya,Gıda,Üretim / Endüstriyel Ürünler,Sağlık,Maden ve Metal Sanayi,Anadolu Üniversitesi,Ege Üniversitesi,Kocaeli Üniversitesi,Dokuz Eylül Üniversitesi,Afyon Kocatepe Üniversitesi,AutoCAD,GCMS / HPLC,ISO 14001,ISO 18001,ISO 9001,21,0,540,55,45
Arkeolog,3260,2020,5440,Arkeoloji,Arkeoloji ve Sanat Tarihi,Sanat Tarihi,Tarih,Kamu Yönetimi,Eğitim,Yapı,Hizmet,Eğlence - Kültür - Sanat,Turizm,İstanbul Üniversitesi (İÜ),Ege Üniversitesi,Pamukkale Üniversitesi,Selçuk Üniversitesi,Ankara Üniversitesi,Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,Photoshop,4,0,1238,44,56
Armador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatör,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arşiv Memuru,2910,2020,3860,Bilgi ve Belge Yönetimi,İşletme,Kamu Yönetimi,İktisat,Maliye,Arşiv Yönetimi ve Saklama,Finans - Ekonomi,Sağlık,Eğitim,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Sakarya Üniversitesi,Hacettepe Üniversitesi,Adobe Photoshop,Dosyalama Ve Arşivleme,Halkla İlişkiler,Mali tablolar analizi,Maliyet Muhasebesi,22,0,719,52,48
Arşiv Sorumlusu,2680,2020,3350,Bilgi ve Belge Yönetimi,İşletme,Tıbbi Dokümantasyon ve Sekreterlik (MYO),Kamu Yönetimi,Dış Ticaret (MYO),Arşiv Yönetimi ve Saklama,Sağlık,Hizmet,Yapı,Finans - Ekonomi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Kocaeli Üniversitesi,Dumlupınar Üniversitesi,Adobe Photoshop,0,0,0,0,40,0,1162,56,44
Arşiv Uzmanı,3920,2100,6320,Bilgi ve Belge Yönetimi,Tarih,İşletme,Kamu Yönetimi,İktisat,Arşiv Yönetimi ve Saklama,Bilişim,Medya,Hizmet,Yapı,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,Marmara Üniversitesi,Hacettepe Üniversitesi,Ankara Üniversitesi,Adobe Photoshop,AutoCAD,Dosyalama Ve Arşivleme,MS SQL Server,0,19,1,362,50,50
Arşiv Yöneticisi,4640,3770,7010,Bilgi ve Belge Yönetimi,İşletme,İktisat,Kamu Yönetimi,Yerel Yönetimler (MYO),Arşiv Yönetimi ve Saklama,Yapı,Enerji,Finans - Ekonomi,Medya,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,Marmara Üniversitesi,Hacettepe Üniversitesi,Adıyaman Üniversitesi,Bilgisayar Destekli Tasarım Araçları,Depo Operasyon,0,0,0,4,0,141,53,47
Asansör Ustası,4630,3500,6550,Elektrik (MYO),Tarım Alet ve Makineleri (MYO),Kamu Yönetimi,Mekatronik (MYO),Makine (MYO),Yapı,Eğitim,Maden ve Metal Sanayi,Atık Yönetimi ve Geri Dönüşüm,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,Akdeniz Üniversitesi,Gazi Üniversitesi,Karabük Üniversitesi,Tehran Üniversitesi,AutoCAD,Bakım Onarım,Elektrik Kumanda Panoları,Elektrik/Elektronik,Elektronik Kart Tamiri,7,0,103,82,18
Asfalt Plent Operatörü,4370,2750,6340,Elektrik (MYO),Endüstriyel Elektronik (MYO),İşletme,İnşaat (MYO),Kamu Yönetimi,Yapı,Üretim / Endüstriyel Ürünler,Taşımacılık,Çevre,Elektrik & Elektronik,Anadolu Üniversitesi,Kahramanmaraş Sütçü İmam Üniversitesi,Trakya Üniversitesi,Ömer Halisdemir  Üniversitesi,Atatürk Üniversitesi,Beton santralleri,Cnc Freze,Metal,Otomasyon Sistemleri,0,8,0,213,86,14
Asistan,0,0,0,İşletme,Büro Yönetimi ve Yönetici Asistanlığı (MYO),İktisat,Kamu Yönetimi,Dış Ticaret (MYO),Hizmet,Sağlık,Danışmanlık,Eğitim,Yapı,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Atatürk Üniversitesi,Kocaeli Üniversitesi,Marmara Üniversitesi,Microsoft Office,Ticaret,Bilgisayar,Personel Maliyet,Microsoft Office Word,0,26,37920,22,78
Asp.net Yazılım Mühendisi,4810,2500,7760,Bilgisayar Mühendisliği,Yazılım Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),Bilgisayar Programcılığı,Elektrik/Elektronik Mühendisliği,Bilişim,Finans - Ekonomi,Üretim / Endüstriyel Ürünler,Hizmet,Telekomünikasyon,Sakarya Üniversitesi,Kocaeli Üniversitesi,Fırat Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),İstanbul Üniversitesi (İÜ),Android Uygulama Geliştirme,ASP.NET,Asp.Net Mvc,ASP.NET Web Api,C,42,605,283,77,23
Asteğmen,5350,3920,6780,Makine Mühendisliği,İşletme,Elektrik/Elektronik Mühendisliği,İktisat,İnşaat Mühendisliği,Güvenlik,Hizmet,Üretim / Endüstriyel Ürünler,Yapı,Bilişim,Kocaeli Üniversitesi,Karabük Üniversitesi,İstanbul Üniversitesi (İÜ),Ondokuz Mayıs Üniversitesi,Sakarya Üniversitesi,Depo Ve Lojistik Yönetimi,Finansal Analiz,Finansal tablo analizi,Fizibilite,GCMS / HPLC,7,0,409,99,1
Astronomi Öğretmeni,3420,2500,4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Astsubay,6760,4800,8730,İşletme,Kamu Yönetimi,İktisat,Elektrik (MYO),Halkla İlişkiler,Güvenlik,Havacılık,Üretim / Endüstriyel Ürünler,Taşımacılık,Elektrik & Elektronik,Anadolu Üniversitesi,Kara Kuvvetleri Astsubay Meslek Yüksek Okulu,Hava Astsubay Meslek Yüksek Okulu,Deniz Astsubay Meslek Yüksek Okulu,Selçuk Üniversitesi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Elektrik/Elektronik,İnsan Kaynakları Yönetimi,İşçi Sağlığı ve İş Güvenliği,23,1,3337,91,9
Aşçı,3300,2170,4430,Aşçılık (MYO),Turizm ve Otel İşletmeciliği (MYO),Gastronomi ve Mutfak Sanatları,İşletme,Turizm İşletmeciliği ve Otelcilik,Gıda,Turizm,Eğlence - Kültür - Sanat,Hizmet,Yapı,Anadolu Üniversitesi,Muğla Üniversitesi,Adnan Menderes Üniversitesi,Abant İzzet Baysal Üniversitesi,Akdeniz Üniversitesi,Macbook Pro,Hedefleri Olan,Hayel Kurmak,Kazık Hasarları,Aşçılık,533,133,24088,62,38
Aşçıbaşı,5540,2530,8550,Aşçılık (MYO),Turizm ve Otel İşletmeciliği (MYO),Gastronomi ve Mutfak Sanatları,İşletme,Turizm - Otelcilik,Gıda,Turizm,Eğlence - Kültür - Sanat,Yapı,Denizcilik,Anadolu Üniversitesi,Abant İzzet Baysal Üniversitesi,İstanbul Üniversitesi (İÜ),Akdeniz Üniversitesi,Muğla Üniversitesi,Gıda Mevzuatı,HACCP,ISO 22000 Gıda Güvenliği HACCP,İşçi Sağlığı ve İş Güvenliği,Maliyet Kontrol,190,91,7190,84,16
Aviyonik Mühendisi,8320,3000,14260,Elektrik/Elektronik Mühendisliği,Bilgisayar Mühendisliği,Elektronik ve Haberleşme Müh.,Elektronik Mühendisliği,Elektrik Mühendisliği,Havacılık,Üretim / Endüstriyel Ürünler,Elektrik & Elektronik,Telekomünikasyon,Bilişim,İstanbul Teknik Üniversitesi (İTÜ),Gazi Üniversitesi,Eskişehir Osmangazi Üniversitesi,Hacettepe Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Altium Desinger,AutoCAD,C,C Programming Language,C#,7,5,98,80,20
Aviyonik Teknisyeni,5970,3500,8540,Uçak Elektrik/Elektroniği,İşletme,İktisat,Havacılık Elektrik ve Elektroniği,Elektronik Teknolojisi,Havacılık,Elektrik & Elektronik,Üretim / Endüstriyel Ürünler,Taşımacılık,Otomotiv,Anadolu Üniversitesi,Kocaeli Üniversitesi,Hava Astsubay Meslek Yüksek Okulu,Erciyes Üniversitesi,Gazi Üniversitesi,AutoCAD,Elektrik/Elektronik,Güç elektroniği,Mikroişlemciler,Pnömatik,14,0,127,95,5
Avrupa Birliği Proje Uzmanı,0,0,0,Uluslararası İlişkiler,İşletme,Endüstri Mühendisliği,Sosyoloji,İktisat,Danışmanlık,Yapı,Eğitim,Topluluklar,Bilişim,Ankara Üniversitesi,Hacettepe Üniversitesi,Mimar Sinan Güzel Sanatlar Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Üniversitesi (İÜ),Adobe Illustrator,BT,CSS,Data Analysis,Dış Ticaret,0,0,106,40,60
Avukat,4370,2020,6790,Hukuk,Adalet Meslek Yüksekokulu (MYO),İşletme,Kamu Yönetimi,İktisat,Danışmanlık,Finans - Ekonomi,Yapı,Hizmet,Enerji,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Dokuz Eylül Üniversitesi,Selçuk Üniversitesi,Borçlar Hukuku,İş hukuku,Uyap,0,0,996,165,20908,32,68
Avukat Katibi,2570,2040,3090,Adalet Meslek Yüksekokulu (MYO),Adalet (MYO),İşletme,Kamu Yönetimi,Büro Yönetimi ve Yönetici Asistanlığı (MYO),Danışmanlık,Hizmet,Sağlık,Gıda,Finans - Ekonomi,Anadolu Üniversitesi,Selçuk Üniversitesi,Atatürk Üniversitesi,Süleyman Demirel Üniversitesi,Ankara Üniversitesi,Uyap,0,0,0,0,41,4,2023,37,63
Ayakkabı Tasarımcısı,5340,2800,7930,Ayakkabı Tasarımı (MYO),Moda ve Tekstil Tasarımı,Moda Tasarımı,Endüstriyel Tasarım,Endüstri Ürünleri Tasarımı,Tekstil,Yapı,Ticaret,Bilişim,Üretim / Endüstriyel Ürünler,İstanbul Aydın Üniversitesi,İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Anadolu Üniversitesi,Mimar Sinan Güzel Sanatlar Üniversitesi,3D Tasarım ve Modelleme Uygulaması,Adobe Illustrator,Adobe Photoshop,CorelDraw,0,11,1,532,58,42
Aydınlatma Tasarımcısı,14240,2470,41290,Elektrik Mühendisliği,Mimarlık,Endüstriyel Tasarım,Elektrik (MYO),Elektrik/Elektronik Mühendisliği,Elektrik & Elektronik,Ticaret,Bilişim,Yapı,Hizmet,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Yeditepe Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,3D Studio Max,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,AutoCAD,3,0,119,65,35
B Sınıfı İş Güvenliği Uzmanı,4130,2730,5540,Kimya,Fizik,Çevre Mühendisliği,Jeoloji Mühendisliği,Biyoloji,Yapı,Sağlık,Çevre,Hizmet,Danışmanlık,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Çukurova Üniversitesi,Süleyman Demirel Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),AutoCAD,ISO 14001,ISO 9001,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,İşçi Sağlığı ve İş Güvenliği,733,166,2739,65,35
Backoffice Müdürü,4240,2200,6800,İşletme,İktisat,Radyo ve Televizyon Programcılığı (MYO),Endüstri Mühendisliği,Konaklama ve Turizm İşletmeciliği,Telekomünikasyon,Bilişim,Danışmanlık,Turizm,Elektrik & Elektronik,Anadolu Üniversitesi,Hacettepe Üniversitesi,Manisa Celal Bayar Üniversitesi,Muğla Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),AutoCAD,CANIAS ERP,CRM,Database,Java,11,0,90,40,60
Bağlama Öğretmeni,0,0,0,Türk Halk Müziği,İşletme,Müzik Öğretmenliği,Türk Musikisi,Müzik Toplulukları,0,0,0,0,0,Ege Üniversitesi,Sakarya Üniversitesi,Anadolu Üniversitesi,Atatürk Üniversitesi,Gaziantep Üniversitesi,Bağlama Çalmak,Müzik,Microsoft Office Excel,Şarkı Söylemek,Sorumluluk Sahibi,0,0,95,60,40
Bahçıvan,2690,2020,3380,Peyzaj ve Süs Bitkileri (MYO),Bahçe Ziraatı (MYO),İşletme,Seracılık (MYO),İlahiyat,Yapı,Turizm,Tarım / Ziraat,Hizmet,Çevre,Anadolu Üniversitesi,Ömer Halisdemir  Üniversitesi,Ege Üniversitesi,Kocaeli Üniversitesi,Namık Kemal Üniversitesi,Peyzaj,0,0,0,0,19,17,933,85,15
Bakım Müdürü,10080,4850,15310,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Elektrik Mühendisliği,Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,Otomotiv,Maden ve Metal Sanayi,Üretim / Endüstriyel Ürünler,Enerji,Kimya,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Karadeniz Teknik Üniversitesi (KTÜ),5S,AutoCAD,Bakım Planlama,Elektrik Kumanda Panoları,Elektrik Motorları,117,48,677,98,2
Bakım Mühendisi,5100,2460,7740,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Elektrik Mühendisliği,Mekatronik Mühendisliği,Elektronik Mühendisliği,Otomotiv,Enerji,Maden ve Metal Sanayi,Üretim / Endüstriyel Ürünler,Gıda,Kocaeli Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Uludağ Üniversitesi,Sakarya Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),5S,Ansys Workbench,AutoCAD,Bakım Planlama,C++,324,226,1933,95,5
Bakım Onarım Mühendisi,4210,2200,6210,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Mekatronik Mühendisliği,Elektrik Mühendisliği,Elektronik Mühendisliği,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Enerji,Elektrik & Elektronik,Otomotiv,Yıldız Teknik Üniversitesi (YTÜ),Kocaeli Üniversitesi,Erciyes Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Eskişehir Osmangazi Üniversitesi,AutoCAD,Bakım Onarım,Bakım Planlama,C++,CAD/CAM,80,67,1072,95,5
Bakım Onarım Teknisyeni,3200,2020,4650,Elektrik (MYO),Otomotiv (MYO),Endüstriyel Elektronik (MYO),Elektronik Teknolojisi,İşletme,Elektrik & Elektronik,Otomotiv,Bilişim,Üretim / Endüstriyel Ürünler,Enerji,Anadolu Üniversitesi,Kocaeli Üniversitesi,Sakarya Üniversitesi,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),AutoCAD,Bakım Onarım,ELEKTRİK BAKIM ONARIM,Elektrik Kumanda Panoları,Elektrik Motorları,97,222,5309,96,6
Bakım Teknisyeni,4160,2020,6350,Elektrik (MYO),Otomotiv (MYO),Uçak Teknolojisi,Makine (MYO),Makine,Otomotiv,Elektrik & Elektronik,Enerji,Üretim / Endüstriyel Ürünler,Yapı,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,Uludağ Üniversitesi,Manisa Celal Bayar Üniversitesi,Bakım Onarım,Elektrik,ELEKTRİK BAKIM ONARIM,Elektrik Kumanda Panoları,Elektrik Motorları,34,222,1449,95,5
Bale Öğretmeni,0,0,0,Türk Halk Oyunları,Modern Dans,Bale,Beden Eğitimi ve Spor Öğretmenliği,Bale Dansçılığı,0,0,0,0,0,Hacettepe Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Dokuz Eylül Üniversitesi,Mimar Sinan Güzel Sanatlar Üniversitesi,Kocaeli Üniversitesi,AutoCAD,Bilgisayar Destekli Tasarım Araçları,Çocuk Gelişimi,0,0,0,2,132,10,90
